text,sentiment,__source__
I think Max (my cat) may really be gone,neutral,test_csv
_r I can`t get one either because of the dog. I`m pretty sure the bunny wouldn`t survive a struggle with Tom,neutral,train_csv
" - Bingley, just for that practise-the-proposal scene toward the end. So endearing",positive,train_csv
 I was scared by the Daleks in the DW Exhibition in Cardiff.,negative,train_csv
 Have you heard the song 'Purpose' from Avenue Q?  Your post reminds me of that.,neutral,train_csv
    - Overwhelming lead for Strawberry Lemonade!!  My husband voted for Banana Fosters tho.,positive,train_csv
is seriously heartbroken!!!,negative,test_csv
" i did dat 1 time & my boss text me saying, 'tweet me n my office after dis tweeting is ova!' i havent dun it since.",neutral,train_csv
"I love these App things, it be hella awesome bro.",positive,test_csv
Just ran hair first into spiderweb full of baby spiders...i almost set my own hair on fire to get rid of them! Almost.,neutral,train_csv
   Woot! lol  It`s gonna be hard to send this one back,neutral,train_csv
"    I am sending healthy, healing thoughts in the mumborg`s direction.",positive,test_csv
" i can`t believe you`re coming near me! but to a place that i can`t get into.  i love you, Jenny!",positive,train_csv
Happy Mothers day  <3,positive,train_csv
 I would if I was home,neutral,train_csv
Nooooo! Its going to rain on my birthday,negative,train_csv
 jet blue is okay I guess. They cancel flights and don`t have a lot of backup planes. And no first class,negative,train_csv
 work outside,neutral,train_csv
Happy Mothers Day to all Mothers every where,positive,train_csv
"imissu, come back home now honey",negative,train_csv
" umm well i only go to house clubs and i never go to north beach so.no idea, sorry  been out 1x there 2 a now defunctlesi club",negative,train_csv
" yer, oh that`s **** cause u hell need to post more haha so we can talk",neutral,train_csv
 don`t cut yourself!!,neutral,train_csv
why is it so **** cold ??!,negative,test_csv
is watching 1000 places to see before you die,neutral,train_csv
wtf?! my tweets aren`t posting   super excited about the weekend! <3jfg.,negative,train_csv
 I`m not a hobo.,neutral,train_csv
 Hmm.  My VPN works fine.    (Oh.. wait.. I don`t need VPN anymore.) http://tinyurl.com/cao6tu,positive,train_csv
2am feedings for the baby are fun when he is all smiles and coos,positive,train_csv
slept all day.. lol. now time to start on my UN article.. what fun (: ...,positive,train_csv
" Haha I know, I cant handle the fame!  and thank you!",positive,train_csv
 I spent 3 hours sitting out in the sun - picnic lunch + ice cream = win. We should have had a BBQ today,positive,train_csv
"To all my friends: Im deeply sorry i`m moving, i will miss u all so very very much!",negative,train_csv
i saw my credit-card statement. maybe i should receive the unholy Aiden fan package!! yaaaaay.,positive,train_csv
"  Dany, meet Sorcha, Sorcha, Dany.   Now you know each other. :-p",neutral,train_csv
work suckd.. another closing nite with 30 dollars pockeded..  i need a new job,negative,train_csv
" u go Mariah,never listen to the haters  I have been a fan for so long and am so grateful for ur music. Can`t wait 4 the album",positive,train_csv
 ****! I`m already thinking about all the shows I`m going to have to miss because I`m broke.,negative,train_csv
" I hear that, we`ve missed so many films due to insufficient fundage: Watchmen, Dark Knight, Star Trek.",neutral,train_csv
 boo...I thought being on the list meant it would be good to go  looks like i`ll have to get a CF adapter for my dslr!,negative,train_csv
"Whoa, I didn`t mean to sleep for more than an hour",neutral,train_csv
yess! talking 2 a hott guy!  happy **** ****!,positive,train_csv
_yst so u are very burnt  sorry back or front burnt?,negative,train_csv
I`m soooooooo hungry right now. DH is still not home.,neutral,train_csv
Having internet access on board means I can see what bad weather we are flying into   http://bit.ly/h14Tw,neutral,train_csv
rushing to sitter to pick up my 103F-fevered preschooler,neutral,train_csv
"  caww that sounds good, I hope you`re right",positive,train_csv
 whuahahhaha you need to cut down on them Bram Ladages/Applejacks/pancakes,positive,train_csv
 I KNOW! I love Nicholas Braun & I think he`ll make an okay Cameron but I don`t wanna see it either,positive,train_csv
"Do you have a chronic illness blog? Let me know, I`ll post your link on my own  www.ptsici.blogspot.com",neutral,test_csv
 OMG I am @ the hair salon. *tears*  I hope I get out of here soon. We watching the Real House wives of NYC in here.,positive,train_csv
_de_B You have to email her - she only gets what people want in so they aren`t on the site. Shame about the trousers,negative,train_csv
"****, need to replace MacBook display. CHF 670 for work and hardware - almost half of the MB price",neutral,train_csv
_sm I`ll have a look. Do you live in the centre of Glasgow? I was born on Bellshill & grew up in Bothwell. I miss Tunnocks pies,negative,train_csv
 congratulation  about the icehockey victory against switzerland..,positive,train_csv
is soooo over school...maybe sick..all week *evil laugh*,negative,train_csv
I`m really nervous about giving a speech at a wedding tomorrow,negative,train_csv
Cancelling my JavaOne  http://ff.im/3nzTH,negative,train_csv
 got **** stranger  lol,neutral,train_csv
just had steamed fish w/ oyster sauce,neutral,train_csv
acsvxdcbgfn soccer now. shall see young phoebe after D: I don`t want her dressed up though,negative,train_csv
good morning. have to get ready to go to the hospital and get a cat scan. best wishes to you.,positive,train_csv
we are looking forward to daddy returning from work on Saturday. He`s been gone a whole month,positive,train_csv
" Cool Sound!! Luv 'Drama', 'Love Game' doesn`t work on ur myspace...    Wish Good Luck!! XoXo from Spain",positive,train_csv
I finally went and found some of the songs we sang in church in Wellington online. Was easier than expected - yay Google!  #fb,positive,train_csv
 i hope you feel better,positive,train_csv
 nothing is going on here is guess,neutral,train_csv
Sad that Christian Lacroix had to file bankruptcy,negative,test_csv
Tiesto in Vicky Park - how excellent,positive,train_csv
_78 I`m sowwy u have to work w/an idiot. I will call u if u want. Just to break up ur day.,negative,train_csv
 aww hope uve hada good day  xxxxx,positive,train_csv
 you should totally come get me and bring me to kelslaws house with you.,neutral,test_csv
 Good luck tonight! have fun,positive,train_csv
I`d rather sit on a bench with a friendly psychiatric patient than go a party with some 'cool' person,positive,train_csv
 Not us as far as I know  hee hee. We`re thinking a few more years first .,neutral,train_csv
_Gov hi gov!! How are you?,neutral,train_csv
i am very very tired,negative,train_csv
"just missed to answer his IM AGAIN! For the nth time! This is making me sad.  Whenever he IM (which is all the time), I am always out.",negative,train_csv
" it`s a modded 360, so you can`t send it back?  That Red Ring of Death sucks!  It took weeks to get mine back from Microsoft.",negative,train_csv
 lol i wos gona send mine in bt i was too late  ****,negative,train_csv
_O haha .. i`m from philippines!  i just want to follow you!,positive,train_csv
 Ahhh I can only imagine what you`re looking at!! So luckyyy. Hope your having fun.,positive,train_csv
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative,train_csv
:kwanghock    it is the Hao Da Za Ji Pa?? I miss the food there so much??,negative,train_csv
 jennah can u just tell jay i said good night plz? im asking nicely!,neutral,train_csv
 yeah freakin sucks!!,negative,test_csv
Sick kid trumps advance planning.  Bummer,negative,train_csv
" Awww, that`s nice.  You both make a really beautiful couple, you balance each other.",positive,train_csv
quick catch up on missed Neighbours ... poor Libby,negative,train_csv
Yum! Whole box of cookies for me,positive,train_csv
leaving now  off to get my angry teethed pulled....,negative,train_csv
  Those dog pic had me  ROLF!  The one  with the snow stuck too it  has that 'if looks could kill look' way funny,positive,train_csv
"just realized that Chris Lake was spinning in stockholm yesterday, and I missed it!",negative,train_csv
better get some sleep soon. she has to get up and go to Sunday meetin` so she can pass out invites to her jewelery party.,neutral,train_csv
gonna walk around for an hour now :I but I`m totally motivated! Wahahaha,positive,train_csv
 SCREAAAAAAAAAAAAAAAAAAAAAAAAAAAAAM - never freu you zu frÃ¯Â¿Â½h,neutral,train_csv
_a_michael CUTE  thanks for sharing! AND PLEASE Direct Message ME before you go to bed James ;) ;) you know you want to!,positive,train_csv
ok nevermind. photo was set to private. sorry.,negative,train_csv
U know I didn`t care for that wolverine movie and I`m a xmen fanatic. That joint sucked to me.,neutral,train_csv
" what did you do?haha. just wash your feet and go to bed,mommas boy",neutral,train_csv
   HAPPY MOTHERS DAY!! LOVE YOU GUYS...,positive,train_csv
 re: the job ... still waiting my friend. Thanks for asking  * I just need a little ... ;) * ? http://blip.fm/~5jehr,positive,train_csv
wah....American Chocolate Cheese Cake for my chweet mummy ! muaxxx,positive,train_csv
  that`s sad. Trauma... Future serial killer...,negative,train_csv
"So proud of cg, took 5 yrs in the making to get that number 1 spot  gnight twitter bugs...time to read myself to sleep.",neutral,train_csv
Lan Poker is so much fun!!!!  Someone help me remember ki compre chal raha hai abhi!!!!,positive,train_csv
 Sis...I dont think I will be up 4 2nite sadly  Im in alot of pain 2day & had bad nite...can we go out anotha week soon?****,negative,train_csv
WTF rehearsal  off  got to space and room was booked and the  brothers have stuff right after so we cant transfer to another room studio,negative,test_csv
" the movie Tym... So sad, I was crying non-stop.",negative,train_csv
 my computer is being stupid and wont let me vote  . if i could i would vote for u.,negative,train_csv
school for a bit. glad jake got the day off,positive,train_csv
" i think thats what he is going for but he didnt have time to scan, do photo shop and stuff before work",neutral,train_csv
Finished dexter season2    start on season 3 next week?,neutral,train_csv
"'Your gonna miss this, Your gonna want this back, Your gonna wish these days hadn`t gone by so fast'  So true I already miss this year",negative,train_csv
" Hi Denis, when can we grab coffee?   would love to catch up with you.  Jordan",positive,train_csv
" I am just `okay-okay` .. like the rest of the sane population in the world, I hate mondays",neutral,train_csv
" Aw, sorry about your cat   No worries about the blankets, I was just wondering, I`m in no rush, take your time!",neutral,train_csv
_Girl OOC sorry we keep missing each other...,negative,train_csv
I`m craving something salty in my mouth!  Tired of pretzels tho.,negative,train_csv
 I picked up some stuff I missed the 2nd time  And to think you missed all the in jokes too!,negative,train_csv
 im sure jont wont mind sharing,positive,train_csv
"Is so freaking bored on the bus. Hate being poor, Ã¯Â¿Â½4.80 return for a 10 min train or Ã¯Â¿Â½2 return for an HOUR long bus.ipod has no battery 2",negative,train_csv
Can`t believe this ****! I`ve spend 30 minutes for for a snickers ice cream... Seems like no one does then anymore!,negative,train_csv
 Sorry about that. I got behind on followers and am still catching up.  I follow folks that @ me (including you,negative,train_csv
" You`ve got to have standards Alice otherwise were would we be ,,,,,? you got to enjoy life it`s what life is for",positive,train_csv
It`s tough being a thick chik,negative,train_csv
"slightly burnt challah  The proof is in the eatin`, though...",negative,train_csv
 yeah dropped the bike yesterday.Leg got caught below the engine.bikes not got a mark on it mind   I`m trying to avoid stairs lol,neutral,train_csv
Well hopefully the rest of the day gets better.,positive,train_csv
Be sure to let the moms you know how fabulous you think they are!!   Almost Mother`s Day.,positive,test_csv
I feel like dressing up for the heck of it.& putting make up on. Haha,positive,train_csv
 So that is different than normal how?,neutral,train_csv
" Brought back memories mentioning the mixer~of being pushed into Angels desk,with full glass of beer,not my fault,desk F`d",neutral,train_csv
still sick  @ Home http://loopt.us/iArPRg.t,negative,train_csv
"just finished some Sunday cleaning, waiting to read the next chapter of Kiyosaki`s book so i can hit a cleaner",neutral,train_csv
 I shall drink lots,neutral,train_csv
 you really have to come to ireland some time! we love you over here <3,positive,train_csv
Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.,positive,train_csv
" - I`m alright thanks pal, just bored witless, bored to hell, really wanna` go out somewhere!",negative,train_csv
signed up for broadband today could take 4-6 weeks,neutral,train_csv
im wearing a certain tye dye tshirt at the moment. and it misses its 8 counterparts...,negative,test_csv
"Today has been a nice positive  fun day , after several weeks of bum days",positive,train_csv
@_supernatural_ more Demon Sam!! I need it to numb the pain  ****,neutral,train_csv
" How BOut What Your Doing Now, or what you gonna do today  lol",neutral,train_csv
" if you like those cookies, you are going to LOVE my cookies   Lars Tetens cookies that is. You coming to see us on 5/16?",positive,train_csv
with harry.. baked. love you cassie.. BUT YOU`RE NOT ONLINE!?,positive,train_csv
back from the city... breakfast time,neutral,train_csv
 mother is hogging the TV,negative,train_csv
   Hi to one kiwi artist from another kiwi artist,neutral,train_csv
Having fries plus greentea. Mmm  - http://tweet.sg,positive,train_csv
Tomorrow i mean anna,neutral,train_csv
" I am the same... well peer trained, peer taught, peer learning",neutral,train_csv
"Sleeeep. Good day, nice night, comfy bed.",positive,train_csv
 now Eating and meeting at the same time sigh well well I want to start work out too but will have to wait move to my new house,neutral,train_csv
" awwww  I`ll be waiting then, hope it doesn`t rain",positive,train_csv
"coach says have come along way, faster that alot of people  oh yeah whos the man. ohh very sore",negative,train_csv
 Uh oh!  Hope nothing too damaged.,positive,train_csv
" ohh, ouch",negative,train_csv
" morning  about to tackle armhole prob - may have a solution not involving tape, will update you!",neutral,train_csv
" nothing much, juss really bored! hbu?",negative,train_csv
  heheheheh... lol... I always figured he`d send them your way if he got any dupes... I felt bad not sending him stuff...,negative,train_csv
 oh no.  hope you feel better soon. Hugs. I had flu earlier this month.,positive,train_csv
" well, I took it in early `00, graduated in `01. we were the final stage guinea pigs  it seriously is a waste of time.",negative,train_csv
"Well Done , Visteon Belfast, 2 years salary paid. Just shows what happens when you stand up for yourself",positive,train_csv
 He seemed all happy about it,positive,train_csv
 good luck!! How exciting,positive,train_csv
star treeeeek?! only one hot guy there  and i get to watch him do his hot stuff woo.,positive,train_csv
"Denny`s with Mike, Pat, and Jessie.",neutral,train_csv
Ahhhhhh I got stitches  I seriously cant wait to go to the beach! SUMMER HURRY UP!!!!!!,positive,train_csv
Where`s my bus? I want to go home!,neutral,train_csv
-was just told by Dan to NOT say anything anymore...  -now im super sad =(,negative,train_csv
" I`d be soo honoured if u cld chk out my beats, perhaps sm advice on wat I nd to do 2 improve da overall sound of my music",positive,test_csv
'Puke In My Mouth' the brilliant response to **** In My Pants  http://tinyurl.com/cy8z7y  Over the top wrong,neutral,test_csv
Tidied & hoovered the whole flat - and all b4 10am today  Now we`re heading out2 German bakery 4 breakfast followed by a walk in the park,neutral,train_csv
"says good morning everyone! Once again, a happy mother`s day to all the mothers out there!  I hope you all h... http://plurk.com/p/stq3f",positive,train_csv
 ME,neutral,train_csv
back time.  I wish I was a teenager again. I wish I could feel healthy again. I can`t remember what it`s like to feel healthy anymore.,negative,test_csv
Happy Star Wars Day!!!,positive,train_csv
I am also wasting time til my cab gets here. spamspamspam. Also Keiths motorbike was nicked. WELL ****.,negative,train_csv
" ... you mean the fam , minus ahugs",neutral,train_csv
"Lost his favorite thing he loves to always have on him, his story of the year Key Chain..",negative,train_csv
I should be in NYC right now with some of my favorite people but instead I am stuck in RI.,neutral,train_csv
Dad just gave me his old BlackBerry. Not that old... But it doesn`t even have a scroll ball. I want that Bold.,negative,train_csv
Im glad that wasnt my real diver theory test! I failed  i got 70% 35/50 questions right but i did have 35mins left lol x,neutral,train_csv
 I would but I`m afraid I got two left feet,negative,train_csv
_bbcrew dude im sleepy and went to bed as soon as i got home.  whhaacck.,neutral,train_csv
i really want a blackberry  my sidekick is hella wack. night,negative,train_csv
I`m SAD SAD SAD!!! thought my aunty Stina coming but no more  i was so looking forward to having family..i miss dat! i`m alone on maui,negative,train_csv
#twpp ..still nw in trending topics..,neutral,train_csv
Braxton was up at 2:30 untill 4am and now he won`t sleep more than 15 minutes at a time! It`s hard to be a mom on days like this!,negative,train_csv
its nice to have no assignments for the night,positive,train_csv
_always3 okay well thank you you are so beautiful too,positive,train_csv
"Okay, whats up with twitter,, :/ my laptop is completely broke, and now my computer is acting up   so I dont reckon I will be on for t ...",negative,train_csv
Making a milo,neutral,train_csv
All alone at home.....,neutral,train_csv
21 days away from being evicted,neutral,train_csv
 Thanks a lot! You`re very kind!  I just got back from a nice drive in the 500. Such a fun car to drive  Have a nice day!,positive,train_csv
_watkins Oh my gosh ian i always miss you when your on,negative,train_csv
"Oh, **** me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.",negative,test_csv
_Von_Abe  I have no idea!! but all white?? weird!! but not bad,neutral,train_csv
Having horrible nightmares not gonna go back to sleep,negative,train_csv
 I am sure it would be like everything else PCI where $ sets you free.,neutral,train_csv
 i (L u so much  See u at school todaay!,positive,test_csv
I am sad that my kids were ungrateful today,negative,train_csv
heading off to schoool. going to have a good day. i just knoww...,positive,train_csv
": Very interested. However, low carbs for the next month means no beer for me",positive,train_csv
Done with my drew and jayk handmade gifts now watching old menudo vids,neutral,train_csv
crying real tears,negative,test_csv
My head hurts,negative,train_csv
Looks like I got a defective MacBook,negative,train_csv
http://snipurl.com/hbp3g  Canalway Cavalcade over in `little venice` near Warwick Avenue - on today too,neutral,train_csv
" don`t you just love the 'butteflies in your stomach' feeling?  ano man yun, kaya mo yan.",positive,train_csv
'dream of a better world because it`s coming' -someone could live off of those words dude,positive,train_csv
Happy Monday tweeples... hope it wasn`t to hard to get out of bed and back in gear!,neutral,train_csv
 im trying to fix it.. it doesnt do it  and its 'ahi dios mio' but u did good lol,positive,test_csv
I`ve had a sore throat since monday morning ...I`m just sick of it hurtin and I want some freakin sleep!,negative,train_csv
That sucks that u have 2 go through that  id b pissed 2,negative,train_csv
Day 8 of the 30 Day Shred and Day 5 of Special K Challenge... I feel fantastic.,positive,train_csv
The muse has me gripped firmly by the throat. Really enjoying my writing,positive,train_csv
Super bummed the Whitecaps game plans with friends fell through...I now need to be home by 7 to let the sitter go,negative,train_csv
"Don`t know what to do right now...pretty bored, but I refuse to study. Any suggestions?",negative,train_csv
Just saw Star Trek with the boo.. Now off to bed! Never again will I go to a Vallejo theater. hAppy mOthErs dAy to all!! I love my mommy,neutral,train_csv
http://twitpic.com/67ot5 - the most amazing decoration of a store i`ve ever seen... & it`s almost been 2 years,positive,train_csv
Chirstina said shes gunna twitter more ...no more partners,neutral,test_csv
 hahah im way too lazy to check my phone  ooo michells! are you wtaching the recruits?,negative,train_csv
